time_s,position_um,time_s_filter,position_um_filter
11.647,2.828904070197479,11.646372343903067,2.8275170399024208
11.696,2.827454823424579,11.696330500163283,2.826954792889155
11.747,2.8280181704578236,11.746163779012576,2.8269361820317815
11.796,2.827698876426436,11.7960742072571,2.8270947600212537
11.846,2.826375935428389,11.846009153317905,2.8275644913733666
11.896,2.827206564896022,11.89588166067325,2.827537823534193
11.945,2.828215825479472,11.94583785550816,2.8278334401415326
11.995,2.828412482099333,11.995734880679787,2.827904379212334
12.046,2.826158798852669,12.045774762994268,2.8283060768183796
12.096,2.82746262065299,12.095783589408128,2.828838374886647
12.145,2.827906665595099,12.145823798626823,2.8288145375042832
12.196,2.8338071455514764,12.195737495913516,2.828656453685914
12.246,2.826244630317722,12.245674076495408,2.828494949933252
12.296,2.830655805493542,12.29569271003578,2.828597344718471
12.346,2.828375661100458,12.345653808433946,2.8286696019045876
12.396,2.82962657362329,12.39567244197432,2.828465532812398
12.446,2.828856609925303,12.445609022556209,2.828109372155659
12.496,2.828606568919815,12.495522719842905,2.827950629457676
12.545,2.8266252643107674,12.545270676691548,2.8278963087979783
12.594,2.823973888081055,12.595176201372814,2.8275209006624635
12.644,2.824223626977644,12.64509643674385,2.8272217117290865
12.696,2.829921182028317,12.694944426282913,2.8268484358937336
12.745,2.829505063647986,12.744866296175035,2.8270157751451794
12.795,2.826290015096896,12.794809414841266,2.8268916755244446
12.845,2.8253831566243206,12.844721150702657,2.8270989259610246
12.894,2.8266429402101543,12.894747629944236,2.8270811399955
12.945,2.829101845919137,12.944745995423151,2.8269047381026438
12.994,2.827505786361856,12.994862373324423,2.8268456157344923
13.046,2.825942956779497,13.044953906505201,2.826968724240294
13.095,2.827342623645102,13.094964694344366,2.827119813797353
13.145,2.826783227921073,13.14499999999981,2.827235901538103
13.195,2.8280217656762665,13.195074861065516,2.82718170167166
13.245,2.828097279236597,13.245276234063228,2.8272854424734164
13.295,2.82533094701008,13.295405361228966,2.8273620709352882
13.345999999999998,2.824460726289204,13.345518143183854,2.82719934221986
13.395,2.825280172165729,13.395614579927884,2.8269691226593188
13.446,2.829894781911102,13.445604445897157,2.826822025249389
13.495000000000001,2.829898115226966,13.495686498855639,2.8268079440634284
13.546,2.829047069844852,13.545627656096563,2.826577024572405
13.597,2.827459196235198,13.595608368747754,2.8263035204916407
13.646,2.823676128428913,13.645464203988032,2.8261136977888492
13.695000000000002,2.823062113148451,13.695393919581361,2.8260413023467925
13.745,2.825213671447416,13.745307289963842,2.8259225978214872
13.795,2.825902863034673,13.795260215756581,2.8259312836181003
13.844999999999999,2.826249638969218,13.845165740437851,2.8258122516791104
13.895,2.825488558108699,13.895005557371489,2.8253096334666066
13.945,2.8244998773030603,13.944869892121403,2.825212898867817
13.994000000000002,2.82484586407974,13.99481464530872,2.8253794836658295
14.044000000000002,2.826876693664683,14.04458515854834,2.825612529676165
14.095,2.826147705341902,14.094613272311005,2.8253862400140335
14.146,2.826522302157977,14.144700228832747,2.825538858393247
14.195000000000002,2.824268659040347,14.194793396534608,2.825492495465322
14.245,2.826265751167998,14.24491435109492,2.8253520205398046
14.294,2.8253678732640313,14.294972866949774,2.8250923647137753
14.344,2.824101410064368,14.345055900620908,2.8250108497576147
14.396,2.828068166061947,14.395216083687268,2.8248987895390867
14.445,2.822329784060599,14.445419091206068,2.824870610406864
